"Timestamp","Mess ID","Breakfast","Lunch","Dinner"
"2026/04/21 11:09:45 PM GMT+5:30","313","No","No","No"
"2026/04/21 11:09:47 PM GMT+5:30","541","Yes","Yes","Yes"
"2026/04/21 11:09:53 PM GMT+5:30","441","Yes","Yes","Yes"
"2026/04/21 11:09:54 PM GMT+5:30","542","Yes","Yes","Yes"
"2026/04/21 11:10:00 PM GMT+5:30","442","Yes","Yes","Yes"
"2026/04/21 11:10:00 PM GMT+5:30","314","Yes","Yes","No"
"2026/04/21 11:10:02 PM GMT+5:30","543","No","Yes","Yes"
"2026/04/21 11:10:08 PM GMT+5:30","443","Yes","Yes","Yes"
"2026/04/21 11:10:10 PM GMT+5:30","544","Yes","Yes","Yes"
"2026/04/21 11:10:13 PM GMT+5:30","315","Yes","Yes","Yes"
"2026/04/21 11:10:16 PM GMT+5:30","444","Yes","No","Yes"
"2026/04/21 11:10:18 PM GMT+5:30","545","Yes","Yes","Yes"
"2026/04/21 11:10:23 PM GMT+5:30","316","Yes","Yes","Yes"
"2026/04/21 11:10:23 PM GMT+5:30","445","Yes","Yes","Yes"
"2026/04/21 11:10:27 PM GMT+5:30","546","Yes","No","Yes"
"2026/04/21 11:10:31 PM GMT+5:30","446","Yes","Yes","Yes"
"2026/04/21 11:10:37 PM GMT+5:30","547","No","Yes","Yes"
"2026/04/21 11:10:38 PM GMT+5:30","317","No","Yes","No"
"2026/04/21 11:10:38 PM GMT+5:30","447","No","Yes","Yes"
"2026/04/21 11:10:45 PM GMT+5:30","448","Yes","Yes","Yes"
"2026/04/21 11:10:49 PM GMT+5:30","318","Yes","Yes","Yes"
"2026/04/21 11:10:52 PM GMT+5:30","548","Yes","No","Yes"
"2026/04/21 11:10:56 PM GMT+5:30","449","Yes","Yes","Yes"
"2026/04/21 11:11:01 PM GMT+5:30","319","No","Yes","No"
"2026/04/21 11:11:01 PM GMT+5:30","549","Yes","Yes","Yes"
"2026/04/21 11:11:08 PM GMT+5:30","450","No","No","Yes"
"2026/04/21 11:11:11 PM GMT+5:30","550","Yes","Yes","Yes"
"2026/04/21 11:11:19 PM GMT+5:30","320","Yes","No","Yes"
"2026/04/21 11:14:10 PM GMT+5:30","321","Yes","Yes","Yes"
"2026/04/21 11:36:56 PM GMT+5:30","322","No","No","No"
"2026/04/21 11:37:10 PM GMT+5:30","323","No","No","No"
"2026/04/21 11:37:20 PM GMT+5:30","324","No","No","No"
"2026/04/21 11:37:29 PM GMT+5:30","325","No","No","No"
"2026/04/21 11:37:38 PM GMT+5:30","326","No","No","No"
"2026/04/21 11:37:48 PM GMT+5:30","327","No","No","No"
"2026/04/21 11:37:57 PM GMT+5:30","328","No","No","No"
"2026/04/21 11:38:06 PM GMT+5:30","329","No","No","No"
"2026/04/21 11:38:14 PM GMT+5:30","330","No","No","No"
"2026/04/21 11:47:02 PM GMT+5:30","322","Yes","No","Yes"
"2026/04/21 11:47:11 PM GMT+5:30","323","Yes","No","Yes"
"2026/04/21 11:47:20 PM GMT+5:30","325","Yes","Yes","No"
"2026/04/21 11:47:35 PM GMT+5:30","325","Yes","No","Yes"
"2026/04/21 11:47:44 PM GMT+5:30","326","Yes","Yes","No"
"2026/04/21 11:47:55 PM GMT+5:30","327","Yes","Yes","No"
"2026/04/21 11:48:07 PM GMT+5:30","328","Yes","No","Yes"
"2026/04/21 11:48:16 PM GMT+5:30","329","Yes","Yes","No"
"2026/04/21 11:48:25 PM GMT+5:30","330","Yes","No","No"
"2026/04/21 11:48:35 PM GMT+5:30","331","Yes","Yes","No"
"2026/04/21 11:48:44 PM GMT+5:30","332","Yes","No","No"
"2026/04/21 11:48:52 PM GMT+5:30","333","Yes","Yes","Yes"
"2026/04/21 11:49:04 PM GMT+5:30","334","Yes","No","No"
"2026/04/21 11:49:14 PM GMT+5:30","335","Yes","Yes","No"
"2026/04/21 11:49:22 PM GMT+5:30","336","Yes","Yes","No"
"2026/04/21 11:49:37 PM GMT+5:30","337","Yes","Yes","No"
"2026/04/21 11:49:47 PM GMT+5:30","338","No","Yes","Yes"
"2026/04/21 11:49:59 PM GMT+5:30","339","Yes","No","Yes"
"2026/04/21 11:50:09 PM GMT+5:30","340","Yes","Yes","Yes"
"2026/04/21 11:50:21 PM GMT+5:30","341","No","No","Yes"
"2026/04/21 11:50:33 PM GMT+5:30","342","Yes","Yes","Yes"
"2026/04/21 11:50:44 PM GMT+5:30","343","No","No","No"
"2026/04/21 11:50:53 PM GMT+5:30","344","No","Yes","No"
"2026/04/21 11:51:02 PM GMT+5:30","346","Yes","No","Yes"
"2026/04/21 11:51:11 PM GMT+5:30","347","Yes","Yes","Yes"
"2026/04/21 11:51:20 PM GMT+5:30","348","Yes","Yes","Yes"
"2026/04/21 11:51:32 PM GMT+5:30","349","Yes","No","No"
"2026/04/21 11:51:41 PM GMT+5:30","350","Yes","No","Yes"
"2026/04/22 2:10:00 PM GMT+5:30","123","Yes","Yes","Yes"
"2026/04/22 2:35:54 PM GMT+5:30","123","Yes","Yes","Yes"
"2026/04/22 2:41:00 PM GMT+5:30","123","Yes","Yes","Yes"
